boat,elevation,species
gillnetting,110.19051158766092,51.72774869109948
gillnetting,126.9270886019803,46.073298429319365
gillnetting,154.54210992959725,37.27748691099477
gillnetting,167.48129750168513,39.79057591623036
gillnetting,180.0003859587023,45.445026178010465
gillnetting,193.99238206834684,37.27748691099477
gillnetting,207.91588703505553,44.188481675392666
gillnetting,224.6999806063287,43.35078534031413
gillnetting,247.59805816748897,40.837696335078526
gillnetting,242.83897687900924,38.74345549738219
gillnetting,248.97484707643375,37.696335078534034
gillnetting,296.49340196056676,29.109947643979055
gillnetting,309.08421985919455,29.738219895287955
gillnetting,321.31759870281337,29.109947643979055
gillnetting,423.9811133589123,20.732984293193724
gillnetting,458.2071591919027,23.66492146596859
gillnetting,509.11797411037696,19.476439790575924
gillnetting,538.1468834087302,18.429319371727757
gillnetting,511.94896553772264,13.612565445026178
gillnetting,530.7380562388647,23.66492146596859
gillnetting,584.8229793600132,19.476439790575924
gillnetting,596.2841547,14.869109947643977
electrofishing,108.37259668447784,87.32984293193716
electrofishing,126.9270886019803,74.34554973821989
electrofishing,154.1142216716814,59.267015706806276
electrofishing,167.94629858882786,75.18324607329842
electrofishing,180.0003859587023,65.96858638743456
electrofishing,207.91588703505553,71.20418848167539
electrofishing,224.6999806063287,64.92146596858638
electrofishing,245.5471367830119,66.38743455497382
electrofishing,193.99238206834684,56.544502617801044
electrofishing,242.16661679011048,44.60732984293193
electrofishing,251.05439825652837,44.60732984293193
electrofishing,296.49340196056676,34.55497382198952
electrofishing,310.8029075136195,33.92670157068062
electrofishing,321.31759870281337,35.60209424083769
electrofishing,422.8072162245519,27.643979057591622
electrofishing,458.2071591919027,34.97382198952879
electrofishing,527.8031643091575,28.272251308900522
electrofishing,511.94896553772264,17.382198952879577
electrofishing,511.94896553772264,14.031413612565444
electrofishing,538.1468834087302,22.40837696335079
electrofishing,588.0749345556159,23.03664921465969
electrofishing,596.2841547,18.219895287958124
